school,sex,age,address,Mjob,guardian,studytime,failures,paid,internet,romantic,freetime,goout,absences
GP,F,18,U,at_home,mother,2,0,no,no,no,3,4,6
GP,F,17,U,at_home,father,2,0,no,yes,no,3,3,4
GP,F,15,U,at_home,mother,2,3,yes,yes,no,3,2,10
GP,F,15,U,health,mother,3,0,yes,yes,yes,2,2,2
GP,F,16,U,other,father,2,0,yes,no,no,3,2,4
GP,M,16,U,services,mother,2,0,yes,yes,no,4,2,10
GP,M,16,U,other,mother,2,0,no,yes,no,4,4,0
GP,F,17,U,other,mother,2,0,no,no,no,1,4,6
GP,M,15,U,services,mother,2,0,yes,yes,no,2,2,0
GP,M,15,U,other,mother,2,0,yes,yes,no,5,1,0
GP,F,15,U,teacher,mother,2,0,yes,yes,no,3,3,0
GP,F,15,U,services,father,3,0,no,yes,no,2,2,4
GP,M,15,U,health,father,1,0,yes,yes,no,3,3,2
GP,M,15,U,teacher,mother,2,0,yes,yes,no,4,3,2
GP,M,15,U,other,other,3,0,no,yes,yes,5,2,0
GP,F,16,U,health,mother,1,0,no,yes,no,4,4,4
GP,F,16,U,services,mother,3,0,yes,yes,no,2,3,6
GP,F,16,U,other,mother,2,0,no,no,no,3,2,4
GP,M,17,U,services,mother,1,3,no,yes,no,5,5,16
GP,M,16,U,health,father,1,0,yes,yes,no,1,3,4
GP,M,15,U,teacher,mother,2,0,no,yes,no,4,1,0
GP,M,15,U,health,father,1,0,yes,yes,no,4,2,0
GP,M,16,U,teacher,mother,2,0,no,yes,no,5,1,2
GP,M,16,U,other,mother,2,0,no,yes,no,4,4,0
GP,F,15,R,services,mother,3,0,yes,yes,no,3,2,2
GP,F,16,U,services,mother,1,2,yes,yes,no,2,2,14
GP,M,15,U,other,mother,1,0,yes,yes,no,2,2,2
GP,M,15,U,health,mother,1,0,yes,yes,no,2,4,4
GP,M,16,U,services,mother,2,0,no,yes,no,3,3,4
GP,M,16,U,teacher,mother,2,0,yes,yes,yes,4,5,16
GP,M,15,U,health,mother,2,0,yes,yes,no,4,2,0
GP,M,15,U,services,mother,2,0,no,yes,no,3,1,0
GP,M,15,R,teacher,mother,2,0,no,yes,yes,5,2,0
GP,M,15,U,other,mother,2,0,no,yes,no,3,2,0
GP,M,16,U,other,mother,1,0,yes,yes,no,4,3,0
GP,F,15,U,other,father,1,0,no,no,no,5,1,0
GP,M,15,U,teacher,mother,3,0,no,yes,no,4,3,2
GP,M,16,R,other,mother,3,0,no,yes,yes,4,3,7
GP,F,15,R,services,mother,3,0,yes,yes,no,3,2,2
GP,F,15,R,at_home,mother,1,0,yes,no,no,3,1,8
GP,F,16,U,other,mother,2,1,no,yes,yes,3,3,25
GP,M,15,U,teacher,other,1,0,no,yes,yes,4,3,8
